gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,72,72,74
female,group C,some college,standard,completed,69,90,88
female,group B,master's degree,standard,none,90,95,93
male,group A,associate's degree,standard,none,47,57,44
male,group C,some college,standard,none,76,78,75
female,group B,associate's degree,standard,none,71,83,78
female,group B,some college,standard,completed,88,95,92
male,group B,some college,free/reduced,none,40,43,39
male,group D,high school,free/reduced,completed,64,64,67
female,group B,some college,free/reduced,completed,38,60,50
male,group A,associate's degree,standard,completed,58,54,52
male,group C,high school,standard,none,40,52,43
female,group B,associate's degree,free/reduced,none,65,81,73
male,group A,some college,standard,completed,78,72,70
female,group A,master's degree,standard,none,50,53,58
male,group C,bachelor's degree,standard,none,69,75,67
female,group D,associate's degree,free/reduced,completed,88,89,86
male,group A,high school,free/reduced,completed,18,32,28
female,group C,bachelor's degree,free/reduced,none,46,42,46
female,group D,some high school,free/reduced,none,54,58,61
female,group B,some college,standard,completed,66,82,76
male,group D,some high school,standard,completed,65,67,63
female,group B,master's degree,standard,none,78,83,79
female,group B,bachelor's degree,free/reduced,completed,63,77,76
female,group B,some college,standard,completed,88,99,95
male,group C,associate's degree,free/reduced,none,29,33,31
male,group D,associate's degree,standard,completed,87,88,87
male,group B,some high school,free/reduced,none,62,55,55
female,group C,bachelor's degree,standard,none,59,71,65
male,group D,high school,standard,none,58,60,60
female,group D,some college,free/reduced,completed,65,81,73
male,group A,some college,standard,none,75,84,80
male,group B,bachelor's degree,free/reduced,completed,69,75,74
female,group D,master's degree,standard,none,77,90,87
male,group D,associate's degree,standard,none,60,54,53
female,group B,bachelor's degree,standard,none,87,100,100
female,group C,master's degree,free/reduced,completed,62,80,79
female,group C,some college,free/reduced,none,54,73,68
male,group D,associate's degree,free/reduced,none,55,52,51
female,group C,bachelor's degree,standard,none,92,100,100
male,group C,some high school,free/reduced,none,42,46,44
male,group D,high school,free/reduced,none,18,31,23
male,group D,some college,standard,completed,71,77,74
female,group B,master's degree,standard,none,87,97,93
male,group D,some college,standard,none,54,63,58
female,group C,some college,free/reduced,completed,81,87,84
male,group A,high school,standard,none,54,62,58
female,group D,some college,standard,none,72,93,84
male,group D,some college,free/reduced,completed,62,64,65
male,group C,associate's degree,standard,completed,79,78,79
female,group B,some high school,free/reduced,none,39,40,46
male,group D,high school,free/reduced,completed,54,64,55
female,group D,some college,free/reduced,completed,76,77,77
male,group B,high school,free/reduced,none,62,54,61
male,group C,high school,standard,none,43,51,43
female,group D,bachelor's degree,standard,completed,65,82,76
female,group D,bachelor's degree,standard,completed,72,77,74
female,group C,associate's degree,standard,none,88,99,95
male,group D,high school,free/reduced,none,47,39,47
male,group A,some high school,standard,completed,75,70,79
female,group D,bachelor's degree,standard,completed,73,76,73
female,group C,master's degree,free/reduced,completed,76,88,85
male,group D,some college,standard,completed,71,83,74
male,group C,some college,standard,none,59,69,63
male,group A,some college,free/reduced,completed,67,76,77
female,group D,some college,free/reduced,none,61,72,67
male,group C,bachelor's degree,standard,completed,88,89,91
female,group D,some college,standard,completed,78,90,87
female,group C,some college,standard,completed,71,88,83
female,group B,high school,free/reduced,none,68,78,77
male,group D,high school,standard,none,69,75,66
male,group B,associate's degree,free/reduced,completed,77,86,79
female,group B,some college,standard,completed,90,96,100
male,group C,some college,free/reduced,none,59,63,64
female,group C,associate's degree,standard,none,71,86,83
male,group D,bachelor's degree,free/reduced,completed,63,66,65
female,group D,master's degree,standard,completed,86,96,93
female,group D,some college,free/reduced,completed,65,78,81
male,group C,some college,standard,completed,80,87,84
male,group D,some college,standard,none,68,70,67
male,group D,bachelor's degree,standard,completed,78,81,79
female,group D,bachelor's degree,free/reduced,completed,76,88,84
male,group A,some high school,free/reduced,none,42,35,35
male,group D,some high school,free/reduced,completed,47,49,46
female,group C,bachelor's degree,standard,none,87,100,100
male,group D,some college,free/reduced,completed,56,61,61
male,group A,high school,standard,completed,73,81,79
male,group C,some college,standard,completed,77,77,74
male,group C,high school,standard,none,49,45,45
female,group B,bachelor's degree,standard,none,87,100,96
male,group D,associate's degree,free/reduced,none,51,48,49
female,group D,some college,free/reduced,completed,81,86,82
male,group C,bachelor's degree,free/reduced,none,43,41,40
male,group D,associate's degree,standard,completed,71,74,72
female,group C,some college,standard,none,81,86,83
female,group D,some college,standard,completed,74,88,86
male,group D,bachelor's degree,standard,completed,77,86,86
